pin,t,lin,lout,hazard_1,hazard_2,hazard_b,ce_1,ce_2,S_1,S_2,S_b,p_1,p_2,p_b,e_1,e_2
0.08,2,8,2,0.49455880073832276,0.7157004837890517,0.3529544861568435,0.514964664257095,0.775204839855343,0.2389258840917619,0.042035449265689986,0.35630922337131565,0.23378169186518954,0.10582076176809867,0.19436181251146278,0.5053186579778277,0.7664067512273758
0.08,3,8,2,0.48396032135874095,0.6218371148401141,0.3039153689444083,0.7072367238410961,0.8013363109202062,0.12329523644579153,0.015896246773305336,0.2480213742921267,0.11563064764597038,0.02613920249238465,0.10828784907918895,0.596786053419242,0.7594065105557832
0.08,4,8,2,0.4759449105861321,0.5596461228329688,0.2743679780573429,0.8031974643419285,0.8403079180593971,0.06461349615990326,0.006999973899028914,0.17997225131259242,0.05868174028588827,0.008896272874276422,0.06804912297953428,0.6712446706134222,0.7727825173921925
0.08,5,8,2,0.4679206207088669,0.518236617659715,0.2549238621470845,0.8594141387155159,0.8748600588593676,0.03437950893059134,0.0033723311018898825,0.13409302992868066,0.03023398722931192,0.003627642797139032,0.04587922138391176,0.7307085582505299,0.793828978311049
0.08,6,8,2,0.46004819493770654,0.49018171306223585,0.24141567841669875,0.8958365166018968,0.9025029680021002,0.018563277904228036,0.0017192760653524423,0.10172087013749753,0.015816231026363307,0.0016530550365374402,0.03237215979118313,0.7784824511633651,0.8174942736070778
0.08,7,8,2,0.45274669818377516,0.47076996761837986,0.23168539745507716,0.9210286327070899,0.9239805495594462,0.010158815125620963,9.098925277394175e-4,0.07815362991021513,0.008404462778607073,8.093835376130247e-4,0.023567240227282404,0.8172959664070077,0.8412670230933329
0.08,8,8,2,0.4462701161119383,0.4570475036098622,0.2244959925845294,0.9392207027980891,0.9405524467445795,0.005625239519950382,4.940284193828494e-4,0.060608453189437424,0.004533575605670581,4.1586410835656813e-4,0.017545176720777704,0.8491566422484974,0.863804267771717
0.08,9,8,2,0.4407023166168294,0.44714818436314835,0.21908500600826397,0.9527427405471999,0.9533519637465859,0.0031461834319837074,2.7312450863201224e-4,0.04733004985827794,0.0024790560879666746,2.2090391075083716e-4,0.013278403331159483,0.87550484369704,0.8844091693567344
0.08,10,8,2,0.4360181178807208,0.4398747596839455,0.2149562537729462,0.96299377454645,0.963275421236203,0.0017743904534626648,1.5298393103371015e-4,0.037156159649855754,0.0013717929785210426,1.2014057759830208e-4,0.010173890208422187,0.897387857801995,0.9027751040081429
0.08,11,8,2,0.4321359379230106,0.43444435455196195,0.21177303186837312,0.9708727042229961,0.9710039657754396,0.0010076125706139402,8.65209258589481e-5,0.02928748706822049,7.667778828487246e-4,6.646300517476206e-5,0.007868672581635264,0.9155917705521286,0.9188370133808057
