,generation,new_infections_1,new_infections_2,total_infections_1,total_infections_2,total_infections,simulation_id
5,5,1,0,8,1,9,162
6,6,1,2,9,3,12,162
7,7,0,3,9,6,15,162
8,8,0,3,9,9,18,162
9,9,0,0,9,9,18,162
0,0,1,0,1,0,1,163
1,1,0,0,1,0,1,163
0,0,1,0,1,0,1,164
1,1,1,0,2,0,2,164
2,2,1,0,3,0,3,164
3,3,1,1,4,1,5,164
4,4,0,1,4,2,6,164
5,5,0,1,4,3,7,164
6,6,0,1,4,4,8,164
7,7,0,0,4,4,8,164
0,0,1,0,1,0,1,165
1,1,0,0,1,0,1,165
0,0,1,0,1,0,1,166
1,1,0,0,1,0,1,166
0,0,1,0,1,0,1,167
1,1,0,0,1,0,1,167
0,0,1,0,1,0,1,168
1,1,2,0,3,0,3,168
2,2,0,0,3,0,3,168
0,0,1,0,1,0,1,169
1,1,2,0,3,0,3,169
2,2,1,0,4,0,4,169
3,3,0,0,4,0,4,169
0,0,1,0,1,0,1,170
1,1,2,0,3,0,3,170
2,2,0,1,3,1,4,170
3,3,0,0,3,1,4,170
0,0,1,0,1,0,1,171
1,1,1,0,2,0,2,171
2,2,0,0,2,0,2,171
0,0,1,0,1,0,1,172
1,1,0,0,1,0,1,172
0,0,1,0,1,0,1,173
1,1,2,0,3,0,3,173
2,2,0,0,3,0,3,173
0,0,1,0,1,0,1,174
1,1,0,0,1,0,1,174
0,0,1,0,1,0,1,175
1,1,0,0,1,0,1,175
0,0,1,0,1,0,1,176
1,1,1,0,2,0,2,176
2,2,0,1,2,1,3,176
3,3,0,0,2,1,3,176
0,0,1,0,1,0,1,177
1,1,0,0,1,0,1,177
0,0,1,0,1,0,1,178
1,1,1,0,2,0,2,178
2,2,2,0,4,0,4,178
3,3,2,0,6,0,6,178
4,4,0,0,6,0,6,178
0,0,1,0,1,0,1,179
1,1,2,1,3,1,4,179
2,2,0,0,3,1,4,179
0,0,1,0,1,0,1,180
1,1,0,1,1,1,2,180
2,2,0,0,1,1,2,180
0,0,1,0,1,0,1,181
1,1,1,1,2,1,3,181
2,2,1,0,3,1,4,181
3,3,1,0,4,1,5,181
4,4,0,0,4,1,5,181
0,0,1,0,1,0,1,182
1,1,0,1,1,1,2,182
2,2,2,0,3,1,4,182
3,3,1,0,4,1,5,182
4,4,0,0,4,1,5,182
0,0,1,0,1,0,1,183
1,1,0,0,1,0,1,183
0,0,1,0,1,0,1,184
1,1,0,0,1,0,1,184
0,0,1,0,1,0,1,185
1,1,0,0,1,0,1,185
0,0,1,0,1,0,1,186
1,1,1,0,2,0,2,186
2,2,1,1,3,1,4,186
3,3,0,2,3,3,6,186
4,4,1,2,4,5,9,186
5,5,1,3,5,8,13,186
6,6,1,3,6,11,17,186
7,7,1,2,7,13,20,186
8,8,0,0,7,13,20,186
0,0,1,0,1,0,1,187
1,1,3,0,4,0,4,187
2,2,0,0,4,0,4,187
0,0,1,0,1,0,1,188
1,1,0,1,1,1,2,188
2,2,0,0,1,1,2,188
0,0,1,0,1,0,1,189
1,1,2,1,3,1,4,189
2,2,0,0,3,1,4,189
0,0,1,0,1,0,1,190
1,1,3,0,4,0,4,190
2,2,1,0,5,0,5,190
3,3,1,0,6,0,6,190
4,4,1,0,7,0,7,190
5,5,3,1,10,1,11,190
6,6,3,1,13,2,15,190
7,7,2,0,15,2,17,190
8,8,1,0,16,2,18,190
9,9,2,0,18,2,20,190
10,10,1,1,19,3,22,190
11,11,2,0,21,3,24,190
12,12,3,0,24,3,27,190
13,13,1,1,25,4,29,190
14,14,1,1,26,5,31,190
15,15,1,1,27,6,33,190
16,16,1,1,28,7,35,190
17,17,0,0,28,7,35,190
0,0,1,0,1,0,1,191
1,1,1,0,2,0,2,191
2,2,0,0,2,0,2,191
0,0,1,0,1,0,1,192
1,1,0,0,1,0,1,192
0,0,1,0,1,0,1,193
1,1,2,0,3,0,3,193
2,2,1,0,4,0,4,193
3,3,0,0,4,0,4,193
0,0,1,0,1,0,1,194
1,1,1,1,2,1,3,194
2,2,1,0,3,1,4,194
3,3,0,0,3,1,4,194
0,0,1,0,1,0,1,195
1,1,0,0,1,0,1,195
0,0,1,0,1,0,1,196
1,1,0,1,1,1,2,196
2,2,1,0,2,1,3,196
3,3,0,0,2,1,3,196
0,0,1,0,1,0,1,197
1,1,0,0,1,0,1,197
0,0,1,0,1,0,1,198
1,1,0,0,1,0,1,198
0,0,1,0,1,0,1,199
1,1,2,0,3,0,3,199
2,2,1,0,4,0,4,199
3,3,2,0,6,0,6,199
4,4,1,0,7,0,7,199
5,5,1,0,8,0,8,199
6,6,2,0,10,0,10,199
7,7,2,0,12,0,12,199
8,8,1,1,13,1,14,199
9,9,1,0,14,1,15,199
10,10,0,0,14,1,15,199
0,0,1,0,1,0,1,200
1,1,0,0,1,0,1,200
0,0,1,0,1,0,1,201
1,1,2,0,3,0,3,201
2,2,0,0,3,0,3,201
0,0,1,0,1,0,1,202
1,1,0,0,1,0,1,202
0,0,1,0,1,0,1,203
1,1,0,0,1,0,1,203
0,0,1,0,1,0,1,204
1,1,2,0,3,0,3,204
2,2,2,0,5,0,5,204
3,3,0,0,5,0,5,204
0,0,1,0,1,0,1,205
1,1,2,0,3,0,3,205
2,2,0,1,3,1,4,205
3,3,0,0,3,1,4,205
0,0,1,0,1,0,1,206
1,1,2,0,3,0,3,206
2,2,0,0,3,0,3,206
0,0,1,0,1,0,1,207
1,1,0,0,1,0,1,207
0,0,1,0,1,0,1,208
1,1,0,0,1,0,1,208
0,0,1,0,1,0,1,209
1,1,1,0,2,0,2,209
2,2,0,0,2,0,2,209
0,0,1,0,1,0,1,210
1,1,0,1,1,1,2,210
2,2,0,1,1,2,3,210
3,3,0,1,1,3,4,210
4,4,0,1,1,4,5,210
5,5,1,1,2,5,7,210
6,6,1,0,3,5,8,210
7,7,0,0,3,5,8,210
0,0,1,0,1,0,1,211
1,1,1,1,2,1,3,211
2,2,1,0,3,1,4,211
3,3,1,0,4,1,5,211
4,4,0,0,4,1,5,211
0,0,1,0,1,0,1,212
1,1,1,0,2,0,2,212
2,2,1,0,3,0,3,212
3,3,1,0,4,0,4,212
4,4,1,0,5,0,5,212
5,5,2,0,7,0,7,212
6,6,2,0,9,0,9,212
7,7,1,1,10,1,11,212
8,8,0,0,10,1,11,212
0,0,1,0,1,0,1,213
1,1,0,1,1,1,2,213
2,2,0,0,1,1,2,213
0,0,1,0,1,0,1,214
1,1,0,0,1,0,1,214
0,0,1,0,1,0,1,215
1,1,0,1,1,1,2,215
2,2,1,0,2,1,3,215
3,3,0,0,2,1,3,215
0,0,1,0,1,0,1,216
1,1,1,0,2,0,2,216
2,2,0,0,2,0,2,216
0,0,1,0,1,0,1,217
1,1,1,1,2,1,3,217
2,2,1,0,3,1,4,217
3,3,1,0,4,1,5,217
4,4,1,0,5,1,6,217
5,5,1,0,6,1,7,217
6,6,0,1,6,2,8,217
7,7,0,1,6,3,9,217
8,8,0,0,6,3,9,217
0,0,1,0,1,0,1,218
1,1,2,0,3,0,3,218
2,2,1,0,4,0,4,218
3,3,1,0,5,0,5,218
4,4,1,0,6,0,6,218
5,5,1,0,7,0,7,218
6,6,1,0,8,0,8,218
7,7,1,0,9,0,9,218
8,8,2,0,11,0,11,218
9,9,2,0,13,0,13,218
10,10,2,0,15,0,15,218
11,11,2,1,17,1,18,218
12,12,0,1,17,2,19,218
13,13,0,0,17,2,19,218
0,0,1,0,1,0,1,219
1,1,1,0,2,0,2,219
2,2,1,0,3,0,3,219
3,3,0,0,3,0,3,219
0,0,1,0,1,0,1,220
1,1,1,1,2,1,3,220
2,2,1,0,3,1,4,220
3,3,2,0,5,1,6,220
4,4,1,0,6,1,7,220
5,5,1,0,7,1,8,220
6,6,2,0,9,1,10,220
7,7,1,1,10,2,12,220
8,8,1,0,11,2,13,220
9,9,0,0,11,2,13,220
0,0,1,0,1,0,1,221
1,1,1,0,2,0,2,221
2,2,2,0,4,0,4,221
3,3,0,0,4,0,4,221
0,0,1,0,1,0,1,222
1,1,1,0,2,0,2,222
2,2,0,1,2,1,3,222
3,3,0,1,2,2,4,222
4,4,0,0,2,2,4,222
0,0,1,0,1,0,1,223
1,1,0,0,1,0,1,223
0,0,1,0,1,0,1,224
1,1,1,0,2,0,2,224
2,2,0,0,2,0,2,224
0,0,1,0,1,0,1,225
1,1,0,0,1,0,1,225
0,0,1,0,1,0,1,226
1,1,1,0,2,0,2,226
2,2,0,0,2,0,2,226
0,0,1,0,1,0,1,227
1,1,1,2,2,2,4,227
2,2,0,0,2,2,4,227
0,0,1,0,1,0,1,228
1,1,2,0,3,0,3,228
2,2,1,0,4,0,4,228
3,3,0,0,4,0,4,228
0,0,1,0,1,0,1,229
1,1,0,0,1,0,1,229
0,0,1,0,1,0,1,230
1,1,1,1,2,1,3,230
2,2,0,0,2,1,3,230
0,0,1,0,1,0,1,231
1,1,2,0,3,0,3,231
2,2,0,0,3,0,3,231
0,0,1,0,1,0,1,232
1,1,0,0,1,0,1,232
0,0,1,0,1,0,1,233
1,1,3,0,4,0,4,233
2,2,0,0,4,0,4,233
0,0,1,0,1,0,1,234
1,1,1,0,2,0,2,234
2,2,1,0,3,0,3,234
3,3,1,0,4,0,4,234
4,4,1,0,5,0,5,234
5,5,1,0,6,0,6,234
6,6,0,1,6,1,7,234
7,7,0,0,6,1,7,234
0,0,1,0,1,0,1,235
1,1,0,0,1,0,1,235
0,0,1,0,1,0,1,236
1,1,0,0,1,0,1,236
0,0,1,0,1,0,1,237
1,1,0,0,1,0,1,237
0,0,1,0,1,0,1,238
1,1,4,0,5,0,5,238
2,2,1,0,6,0,6,238
3,3,0,0,6,0,6,238
0,0,1,0,1,0,1,239
1,1,1,0,2,0,2,239
2,2,0,0,2,0,2,239
0,0,1,0,1,0,1,240
1,1,0,0,1,0,1,240
0,0,1,0,1,0,1,241
1,1,0,0,1,0,1,241
0,0,1,0,1,0,1,242
1,1,1,0,2,0,2,242
